,treatment_cultivar,cultivar,variable,value_simulated,value_measured,experiment,position,calibration_code,plantgro_variables,overview_variables,calibration_method,short_label,long_label,treatment
73,WW23_G-3,ENTRY 3,Vegetative wt (kg dm/ha),10139.0,9564.0,CIOB2301 WH ROOTS ANATOMY,14,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
83,WW23_G-3,ENTRY 3,Product N (kg/ha),120.7,139.3,CIOB2301 WH ROOTS ANATOMY,24,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
85,WW23_G-3,ENTRY 3,Product N (%),2.2,1.9,CIOB2301 WH ROOTS ANATOMY,26,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
91,WW23_G-4,ENTRY 4,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
92,WW23_G-4,ENTRY 4,Anthesis (DAP),99.0,97.0,CIOB2301 WH ROOTS ANATOMY,3,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
93,WW23_G-4,ENTRY 4,Maturity (DAP),141.0,141.0,CIOB2301 WH ROOTS ANATOMY,4,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
94,WW23_G-4,ENTRY 4,Product wt (kg dm/ha;no loss),7199.0,7183.0,CIOB2301 WH ROOTS ANATOMY,5,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
95,WW23_G-4,ENTRY 4,Product unit weight (g dm),0.049,0.049,CIOB2301 WH ROOTS ANATOMY,6,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
96,WW23_G-4,ENTRY 4,Product number (no/m2),14572.0,14585.0,CIOB2301 WH ROOTS ANATOMY,7,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
98,WW23_G-4,ENTRY 4,Product harvest index (ratio),0.46,0.46,CIOB2301 WH ROOTS ANATOMY,9,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
99,WW23_G-4,ENTRY 4,Maximum leaf area index,5.5,5.5,CIOB2301 WH ROOTS ANATOMY,10,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
102,WW23_G-4,ENTRY 4,Canopy (tops) wt (kg dm/ha),15779.0,15767.0,CIOB2301 WH ROOTS ANATOMY,13,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
103,WW23_G-4,ENTRY 4,Vegetative wt (kg dm/ha),8580.0,8584.0,CIOB2301 WH ROOTS ANATOMY,14,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
113,WW23_G-4,ENTRY 4,Product N (kg/ha),161.7,153.2,CIOB2301 WH ROOTS ANATOMY,24,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
115,WW23_G-4,ENTRY 4,Product N (%),2.2,2.1,CIOB2301 WH ROOTS ANATOMY,26,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
121,WW23_G-5,ENTRY 5,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
122,WW23_G-5,ENTRY 5,Anthesis (DAP),100.0,100.0,CIOB2301 WH ROOTS ANATOMY,3,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
123,WW23_G-5,ENTRY 5,Maturity (DAP),144.0,144.0,CIOB2301 WH ROOTS ANATOMY,4,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
124,WW23_G-5,ENTRY 5,Product wt (kg dm/ha;no loss),4680.0,7020.0,CIOB2301 WH ROOTS ANATOMY,5,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
125,WW23_G-5,ENTRY 5,Product unit weight (g dm),0.033,0.049,CIOB2301 WH ROOTS ANATOMY,6,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
126,WW23_G-5,ENTRY 5,Product number (no/m2),14138.0,14222.0,CIOB2301 WH ROOTS ANATOMY,7,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
128,WW23_G-5,ENTRY 5,Product harvest index (ratio),0.29,0.34,CIOB2301 WH ROOTS ANATOMY,9,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
129,WW23_G-5,ENTRY 5,Maximum leaf area index,5.4,5.3,CIOB2301 WH ROOTS ANATOMY,10,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
132,WW23_G-5,ENTRY 5,Canopy (tops) wt (kg dm/ha),15875.0,20705.0,CIOB2301 WH ROOTS ANATOMY,13,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
133,WW23_G-5,ENTRY 5,Vegetative wt (kg dm/ha),11196.0,13685.0,CIOB2301 WH ROOTS ANATOMY,14,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
143,WW23_G-5,ENTRY 5,Product N (kg/ha),105.1,148.5,CIOB2301 WH ROOTS ANATOMY,24,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
145,WW23_G-5,ENTRY 5,Product N (%),2.2,2.1,CIOB2301 WH ROOTS ANATOMY,26,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
151,WW23_G-6,ENTRY 6,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
152,WW23_G-6,ENTRY 6,Anthesis (DAP),102.0,100.0,CIOB2301 WH ROOTS ANATOMY,3,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
153,WW23_G-6,ENTRY 6,Maturity (DAP),143.0,143.0,CIOB2301 WH ROOTS ANATOMY,4,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
154,WW23_G-6,ENTRY 6,Product wt (kg dm/ha;no loss),5636.0,6947.0,CIOB2301 WH ROOTS ANATOMY,5,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
155,WW23_G-6,ENTRY 6,Product unit weight (g dm),0.034,0.042,CIOB2301 WH ROOTS ANATOMY,6,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
156,WW23_G-6,ENTRY 6,Product number (no/m2),16433.0,16489.0,CIOB2301 WH ROOTS ANATOMY,7,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
158,WW23_G-6,ENTRY 6,Product harvest index (ratio),0.36,0.39,CIOB2301 WH ROOTS ANATOMY,9,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
159,WW23_G-6,ENTRY 6,Maximum leaf area index,5.8,5.7,CIOB2301 WH ROOTS ANATOMY,10,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
162,WW23_G-6,ENTRY 6,Canopy (tops) wt (kg dm/ha),15740.0,17928.0,CIOB2301 WH ROOTS ANATOMY,13,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
163,WW23_G-6,ENTRY 6,Vegetative wt (kg dm/ha),10104.0,10981.0,CIOB2301 WH ROOTS ANATOMY,14,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
173,WW23_G-6,ENTRY 6,Product N (kg/ha),127.6,133.9,CIOB2301 WH ROOTS ANATOMY,24,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
175,WW23_G-6,ENTRY 6,Product N (%),2.3,1.9,CIOB2301 WH ROOTS ANATOMY,26,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
181,WW23_G-7,ENTRY 7,Emergence (DAP),3.0,7.0,CIOB2301 WH ROOTS ANATOMY,2,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
182,WW23_G-7,ENTRY 7,Anthesis (DAP),101.0,101.0,CIOB2301 WH ROOTS ANATOMY,3,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
183,WW23_G-7,ENTRY 7,Maturity (DAP),142.0,142.0,CIOB2301 WH ROOTS ANATOMY,4,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
184,WW23_G-7,ENTRY 7,Product wt (kg dm/ha;no loss),6666.0,6650.0,CIOB2301 WH ROOTS ANATOMY,5,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
185,WW23_G-7,ENTRY 7,Product unit weight (g dm),0.042,0.041,CIOB2301 WH ROOTS ANATOMY,6,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
186,WW23_G-7,ENTRY 7,Product number (no/m2),16023.0,16031.0,CIOB2301 WH ROOTS ANATOMY,7,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
188,WW23_G-7,ENTRY 7,Product harvest index (ratio),0.41,0.41,CIOB2301 WH ROOTS ANATOMY,9,pest_08_initial_parameters,,"Emergence (DAP), Anthesis (DAP), Maturity (DAP), Product wt (kg dm/ha;no loss), Product unit weight (g dm), Product number (no/m2), Product harvest index (ratio), Maximum leaf area index, Canopy (tops) wt (kg dm/ha), Vegetative wt (kg dm/ha), Product N (kg/ha), Product N (%)",PEST,CI_CI,"PEST, Endpoint Variables, 5 Parameter Groups, Updated Controls, Initial Cultivar Values = CI0001 + Initial Ecotype Values = CI0001",Well Watered 2023
